LLAMA3-8B	GT	LLAMA3-8B-Article-model
CWE-93	CWE-79	CWE-79
CWE-79	CWE-79	CWE-79
CWE-80	CWE-79	CWE-80
CWE-116	CWE-79	CWE-116
CWE-80	CWE-89	CWE-80
CWE-79	CWE-79	CWE-79
CWE-89	CWE-79	CWE-89
CWE-80	CWE-79	CWE-80
CWE-80	CWE-79	CWE-80
CWE-79	CWE-79	CWE-79
CWE-80	CWE-79	CWE-79
CWE-79	CWE-79	CWE-79
CWE-80	CWE-79	CWE-80
CWE-80	CWE-79	CWE-80
CWE-80	CWE-79	CWE-80
CWE-79	CWE-89	CWE-79
CWE-79	CWE-79	CWE-79
CWE-89	CWE-79	CWE-89
CWE-80	CWE-79	CWE-80
CWE-80	CWE-79	CWE-80
CWE-80	CWE-79	CWE-80
CWE-16	CWE-79	CWE-16
CWE-80	CWE-79	CWE-80
CWE-79	CWE-79	CWE-79
CWE-80	CWE-79	CWE-79
CWE-79	CWE-79	CWE-79
CWE-80	CWE-89	CWE-89
CWE-80	CWE-79	CWE-80
CWE-89	CWE-79	CWE-89
CWE-80	CWE-79	CWE-80
CWE-79	CWE-79	CWE-79
CWE-80	CWE-79	CWE-80
CWE-80	CWE-79	CWE-80
CWE-79	CWE-79	CWE-79
CWE-80	CWE-79	CWE-80
CWE-80	CWE-79	CWE-80
CWE-80	CWE-89	CWE-80
CWE-80	CWE-79	CWE-80
CWE-89	CWE-79	CWE-89
CWE-80	CWE-79	CWE-80
CWE-80	CWE-79	CWE-79
CWE-80	CWE-79	CWE-80
CWE-80	CWE-79	CWE-80
CWE-80	CWE-79	CWE-80
CWE-80	CWE-79	CWE-79
CWE-79	CWE-79	CWE-79
CWE-80	CWE-94	CWE-80
CWE-79	CWE-502	CWE-79
CWE-94	CWE-862	CWE-94
CWE-502	CWE-89	CWE-502
CWE-285	CWE-502	CWE-285
CWE-89	CWE-639	CWE-89
CWE-502	CWE-122	CWE-122
CWE-284	CWE-122	CWE-284
CWE-119	CWE-122	CWE-119
CWE-126	CWE-125	CWE-126
CWE-122	CWE-122	CWE-122
CWE-120	CWE-122	CWE-120
CWE-119	CWE-122	CWE-119
CWE-125	CWE-122	CWE-125
CWE-122	CWE-200	CWE-122
CWE-121	CWE-122	CWE-121
CWE-200	CWE-122	CWE-200
CWE-119	CWE-457	CWE-457
CWE-121	CWE-287	CWE-121
CWE-478	CWE-125	CWE-125
CWE-287	CWE-686	CWE-287
CWE-190	CWE-570	CWE-190
CWE-134	CWE-561	CWE-134
CWE-772	CWE-125	CWE-125
CWE-673	CWE-125	CWE-673
CWE-126	CWE-476	CWE-126
CWE-120	CWE-444	CWE-444
CWE-476	CWE-787	CWE-476
CWE-20	CWE-327	CWE-20
CWE-120	CWE-662	CWE-120
CWE-327	CWE-20	CWE-327
CWE-287	CWE-20	CWE-20
CWE-127	CWE-95	CWE-127
CWE-078	CWE-667	CWE-078
CWE-116	CWE-95	CWE-95
CWE-676	CWE-835	CWE-676
CWE-116	CWE-1336	CWE-116
CWE-835	CWE-755	CWE-835
CWE-94	CWE-20	CWE-20
CWE-20	CWE-89	CWE-20
CWE-94	CWE-862	CWE-94
CWE-120	CWE-79	CWE-120
CWE-269	CWE-125	CWE-269
CWE-93	CWE-125	CWE-93
CWE-119	CWE-770	CWE-119
CWE-125	CWE-476	CWE-125
CWE-125	CWE-125	CWE-125
CWE-476	CWE-400	CWE-476
CWE-125	CWE-122	CWE-125
CWE-401	CWE-787	CWE-401
CWE-120	CWE-200	CWE-120
CWE-20	CWE-122	CWE-20
CWE-NotFound	CWE-20	CWE-NotFound
CWE-122	CWE-129	CWE-122
CWE-20	CWE-79	CWE-20
CWE-20	CWE-862	CWE-20
CWE-79	CWE-307	CWE-79
CWE-306	CWE-862	CWE-306
CWE-309	CWE-862	CWE-309
CWE-285	CWE-862	CWE-285
CWE-285	CWE-94	CWE-285
CWE-285	CWE-862	CWE-285
CWE-22	CWE-862	CWE-22
CWE-285	CWE-639	CWE-285
CWE-285	CWE-862	CWE-285
CWE-285	CWE-602	CWE-285
CWE-285	CWE-532	CWE-285
CWE-200	CWE-862	CWE-200
CWE-532	CWE-862	CWE-532
CWE-285	CWE-862	CWE-862
CWE-285	CWE-79	CWE-285
CWE-285	CWE-862	CWE-862
CWE-79	CWE-862	CWE-79
CWE-285	CWE-352	CWE-285
CWE-284	CWE-79	CWE-79
CWE-352	CWE-79	CWE-352
CWE-94	CWE-79	CWE-94
CWE-80	CWE-79	CWE-80
CWE-80	CWE-79	CWE-80
CWE-79	CWE-352	CWE-79
CWE-79	CWE-284	CWE-79
CWE-352	CWE-434	CWE-352
CWE-284	CWE-862	CWE-284
CWE-346	CWE-79	CWE-346
CWE-285	CWE-862	CWE-285
CWE-80	CWE-862	CWE-80
CWE-285	CWE-862	CWE-285
CWE-285	CWE-89	CWE-285
CWE-285	CWE-79	CWE-285
CWE-89	CWE-290	CWE-89
CWE-80	CWE-89	CWE-80
CWE-306	CWE-77	CWE-77
CWE-89	CWE-89	CWE-89
CWE-94	CWE-79	CWE-94
CWE-89	CWE-862	CWE-862
CWE-80	CWE-862	CWE-80
CWE-285	CWE-862	CWE-285
CWE-285	CWE-862	CWE-285
CWE-285	CWE-200	CWE-285
CWE-785	CWE-862	CWE-785
CWE-521	CWE-918	CWE-521
CWE-285	CWE-862	CWE-285
CWE-918	CWE-798	CWE-918
CWE-285	CWE-307	CWE-285
CWE-22	CWE-79	CWE-22
CWE-227	CWE-79	CWE-227
CWE-80	CWE-79	CWE-80
CWE-80	CWE-862	CWE-862
CWE-80	CWE-862	CWE-80
CWE-285	CWE-200	CWE-285
CWE-284	CWE-862	CWE-862
CWE-821	CWE-352	CWE-821
CWE-285	CWE-77	CWE-285
CWE-352	CWE-862	CWE-352
CWE-78	CWE-862	CWE-78
CWE-264	CWE-79	CWE-264
CWE-269	CWE-306	CWE-269
CWE-92	CWE-89	CWE-92
CWE-306	CWE-89	CWE-306
CWE-89	CWE-200	CWE-89
CWE-89	CWE-798	CWE-89
CWE-200	CWE-259	CWE-200
CWE-306	CWE-1326	CWE-306
CWE-259	CWE-79	CWE-79
CWE-269	CWE-79	CWE-269
CWE-80	CWE-79	CWE-80
CWE-79	CWE-80	CWE-79
CWE-80	CWE-306	CWE-80
CWE-79	CWE-200	CWE-79
CWE-285	CWE-20	CWE-285
CWE-534	CWE-257	CWE-534
CWE-20	CWE-532	CWE-20
CWE-287	CWE-326	CWE-287
CWE-532	CWE-1391	CWE-532
CWE-327	CWE-79	CWE-327
CWE-798	CWE-787	CWE-798
CWE-93	CWE-119	CWE-93
CWE-119	CWE-749	CWE-119
CWE-1188	CWE-77	CWE-1188
CWE-306	CWE-639	CWE-306
CWE-78	CWE-352	CWE-78
CWE-672	CWE-307	CWE-672
CWE-352	CWE-918	CWE-352
CWE-633	CWE-862	CWE-633
CWE-918	CWE-862	CWE-918
CWE-285	CWE-862	CWE-285
CWE-285	CWE-862	CWE-285
CWE-285	CWE-200	CWE-285
CWE-306	CWE-200	CWE-306
CWE-200	CWE-200	CWE-200
CWE-522	CWE-862	CWE-522
CWE-522	CWE-862	CWE-862
CWE-285	CWE-352	CWE-285
CWE-285	CWE-290	CWE-285
CWE-352	CWE-862	CWE-862
CWE-384	CWE-532	CWE-384
CWE-285	CWE-352	CWE-352
CWE-532	CWE-80	CWE-532
CWE-352	CWE-79	CWE-352
CWE-80	CWE-862	CWE-80
CWE-80	CWE-352	CWE-80
CWE-285	CWE-352	CWE-285
CWE-352	CWE-352	CWE-352
CWE-352	CWE-532	CWE-352
CWE-352	CWE-862	CWE-352
CWE-521	CWE-862	CWE-521
CWE-285	CWE-862	CWE-285
CWE-269	CWE-79	CWE-269
CWE-285	CWE-79	CWE-285
CWE-79	CWE-862	CWE-79
CWE-80	CWE-918	CWE-80
CWE-285	CWE-862	CWE-285
CWE-918	CWE-862	CWE-918
CWE-285	CWE-352	CWE-285
CWE-285	CWE-22	CWE-285
CWE-352	CWE-639	CWE-352
CWE-22	CWE-434	CWE-22
CWE-668	CWE-862	CWE-862
CWE-434	CWE-532	CWE-434
CWE-285	CWE-918	CWE-285
CWE-532	CWE-862	CWE-532
CWE-918	CWE-862	CWE-918
CWE-275	CWE-79	CWE-275
CWE-285	CWE-200	CWE-285
CWE-80	CWE-502	CWE-502
CWE-200	CWE-862	CWE-200
CWE-502	CWE-918	CWE-502
CWE-285	CWE-862	CWE-285
CWE-918	CWE-862	CWE-918
CWE-285	CWE-862	CWE-285
CWE-285	CWE-639	CWE-285
CWE-285	CWE-862	CWE-285
CWE-285	CWE-532	CWE-285
CWE-285	CWE-862	CWE-285
CWE-532	CWE-290	CWE-532
CWE-285	CWE-862	CWE-285
CWE-345	CWE-862	CWE-345
CWE-285	CWE-915	CWE-285
CWE-285	CWE-22	CWE-22
CWE-601	CWE-79	CWE-601
CWE-22	CWE-79	CWE-22
CWE-80	CWE-79	CWE-80
CWE-80	CWE-502	CWE-80
CWE-80	CWE-434	CWE-80
CWE-20	CWE-269	CWE-20
CWE-434	CWE-78	CWE-434
CWE-269	CWE-327	CWE-269
CWE-78	CWE-250	CWE-78
CWE-327	CWE-269	CWE-327
CWE-693	CWE-787	CWE-693
CWE-269	CWE-20	CWE-269
CWE-120	CWE-427	CWE-120
CWE-20	CWE-20	CWE-20
CWE-113	CWE-20	CWE-113
CWE-20	CWE-121	CWE-20
CWE-20	CWE-20	CWE-20
CWE-119	CWE-276	CWE-119
CWE-20	CWE-942	CWE-20
CWE-276	CWE-352	CWE-276
CWE-601	CWE-319	CWE-601
CWE-352	CWE-295	CWE-295
CWE-325	CWE-1321	CWE-325
CWE-295	CWE-754	CWE-295
CWE-471	CWE-297	CWE-471
CWE-363	CWE-22	CWE-363
CWE-287	CWE-770	CWE-287
CWE-22	CWE-89	CWE-22
CWE-444	CWE-682	CWE-444
CWE-89	CWE-770	CWE-89
CWE-287	CWE-80	CWE-287
CWE-703	CWE-502	CWE-703
CWE-494	CWE-79	CWE-494
CWE-94	CWE-456	CWE-94
CWE-80	CWE-303	CWE-80
CWE-457	CWE-434	CWE-457
CWE-255	CWE-285	CWE-285
CWE-778	CWE-281	CWE-778
CWE-285	CWE-354	CWE-354
CWE-275	CWE-88	CWE-275
CWE-1312	CWE-835	CWE-1312
CWE-78	CWE-79	CWE-78
CWE-20	CWE-89	CWE-20
CWE-80	CWE-281	CWE-281
CWE-89	CWE-79	CWE-89
CWE-21	CWE-362	CWE-21
CWE-80	CWE-843	CWE-80
CWE-829	CWE-704	CWE-829
CWE-470	CWE-125	CWE-470
CWE-125	CWE-787	CWE-125
CWE-126	CWE-783	CWE-126
CWE-787	CWE-125	CWE-787
CWE-774	CWE-125	CWE-774
CWE-125	CWE-362	CWE-125
CWE-125	CWE-367	CWE-125
CWE-676	CWE-667	CWE-676
CWE-20	CWE-787	CWE-787
CWE-416	CWE-787	CWE-787
CWE-787	CWE-125	CWE-787
CWE-126	CWE-787	CWE-126
CWE-126	CWE-908	CWE-126
CWE-120	CWE-120	CWE-120
CWE-451	CWE-362	CWE-451
CWE-120	CWE-787	CWE-120
CWE-693	CWE-281	CWE-281
CWE-121	CWE-908	CWE-121
CWE-26	CWE-327	CWE-26
CWE-131	CWE-787	CWE-131
CWE-191	CWE-843	CWE-191
CWE-190	CWE-367	CWE-367
CWE-476	CWE-94	CWE-476
CWE-20	CWE-416	CWE-20
CWE-120	CWE-598	CWE-598
CWE-416	CWE-257	CWE-416
CWE-78	CWE-78	CWE-78
CWE-521	CWE-799	CWE-521
CWE-78	CWE-909	CWE-78
CWE-400	CWE-352	CWE-400
CWE-20	CWE-862	CWE-20
CWE-352	CWE-79	CWE-352
CWE-285	CWE-862	CWE-285
CWE-80	CWE-79	CWE-80
CWE-285	CWE-532	CWE-285
CWE-80	CWE-434	CWE-80
CWE-532	CWE-918	CWE-532
CWE-434	CWE-79	CWE-434
CWE-918	CWE-862	CWE-918
CWE-80	CWE-352	CWE-80
CWE-285	CWE-269	CWE-285
CWE-352	CWE-203	CWE-352
CWE-269	CWE-269	CWE-269
CWE-310	CWE-79	CWE-310
CWE-674	CWE-347	CWE-674
CWE-80	CWE-200	CWE-80
CWE-306	CWE-918	CWE-306
CWE-668	CWE-79	CWE-668
CWE-918	CWE-200	CWE-918
CWE-80	CWE-284	CWE-80
CWE-522	CWE-400	CWE-522
CWE-269	CWE-79	CWE-269
CWE-400	CWE-440	CWE-400
CWE-80	CWE-400	CWE-80
CWE670	CWE-284	CWE670
CWE-405	CWE-416	CWE-405
CWE-306	CWE-191	CWE-306
CWE-416	CWE-835	CWE-416
CWE-682	CWE-290	CWE-682
CWE-395	CWE-276	CWE-395
CWE-287	CWE-79	CWE-287
CWE-732	CWE-843	CWE-732
CWE-99	CWE-610	CWE-99
CWE-119	CWE-79	CWE-119
CWE-918	CWE-22	CWE-22
CWE-134	CWE-863	CWE-863
CWE-22	CWE-400	CWE-22
CWE-20	CWE-362	CWE-20
CWE-400	CWE-93	CWE-400
CWE-415	CWE-918	CWE-415
CWE-77	CWE-798	CWE-77
CWE-208	CWE-20	CWE-208
CWE-327	CWE-908	CWE-327
CWE-329	CWE-20	CWE-329
CWE-476	CWE-16	CWE-476
CWE-258	CWE-20	CWE-258
CWE-287	CWE-362	CWE-362
CWE-20	CWE-248	CWE-20
CWE-119	CWE-264	CWE-119
CWE-399	CWE-362	CWE-399
CWE-247	CWE-824	CWE-247
CWE-686	CWE-840	CWE-686
CWE-476	CWE-502	CWE-476
CWE-255	CWE-862	CWE-255
CWE-20	CWE-400	CWE-20
CWE-269	CWE-79	CWE-269
CWE-685	CWE-922	CWE-685
CWE-80	CWE-434	CWE-80
CWE-319	CWE-79	CWE-319
CWE-78	CWE-89	CWE-78
CWE-116	CWE-502	CWE-116
CWE-89	CWE-680	CWE-89
CWE-20	CWE-79	CWE-20
CWE-120	CWE-79	CWE-120
CWE-80	CWE-22	CWE-22
CWE-80	CWE-287	CWE-80
CWE-22	CWE-77	CWE-22
CWE-264	CWE-77	CWE-264
CWE-78	CWE-494	CWE-78
CWE-200	CWE-434	CWE-434
CWE-200	CWE-89	CWE-200
CWE-427	CWE-89	CWE-89
CWE-89	CWE-1357	CWE-1357
CWE-89	CWE-89	CWE-89
CWE-1164	CWE-89	CWE-1164
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-89	CWE-1284	CWE-89
CWE-89	CWE-22	CWE-89
CWE-285	CWE-787	CWE-285
CWE-22	CWE-121	CWE-22
CWE-120	CWE-787	CWE-120
CWE-120	CWE-94	CWE-120
CWE-122	CWE-79	CWE-79
CWE-89	CWE-79	CWE-89
CWE-80	CWE-121	CWE-80
CWE-79	CWE-121	CWE-79
CWE-120	CWE-120	CWE-120
CWE-121	CWE-121	CWE-121
CWE-121	CWE-782	CWE-782
CWE-120	CWE-22	CWE-120
CWE-119	CWE-782	CWE-119
CWE-22	CWE-782	CWE-22
CWE-94	CWE-79	CWE-94
CWE-665	CWE-269	CWE-269
CWE-79	CWE-79	CWE-79
CWE-770	CWE-617	CWE-770
CWE-80	CWE-119	CWE-80
CWE-695	CWE-400	CWE-695
CWE-369	CWE-284	CWE-284
CWE-754	CWE-89	CWE-754
CWE-787	CWE-89	CWE-787
CWE-352	CWE-89	CWE-352
CWE-89	CWE-359	CWE-89
CWE-89	CWE-89	CWE-89
CWE-200	CWE-89	CWE-200
CWE-89	CWE-89	CWE-89
CWE-89	CWE-120	CWE-89
CWE-89	CWE-89	CWE-89
CWE-120	CWE-94	CWE-94
CWE-89	CWE-250	CWE-89
CWE-264	CWE-79	CWE-264
CWE-78	CWE-79	CWE-79
CWE-80	CWE-79	CWE-79
CWE-79	CWE-79	CWE-79
CWE-80	CWE-79	CWE-80
CWE-80	CWE-79	CWE-80
CWE-80	CWE-200	CWE-200
CWE-80	CWE-476	CWE-80
CWE-200	CWE-79	CWE-79
CWE-400	CWE-79	CWE-400
CWE-79	CWE-798	CWE-79
CWE-80	CWE-89	CWE-80
CWE-284	CWE-94	CWE-284
CWE-200	CWE-77	CWE-77
CWE-89	CWE-78	CWE-78
CWE-78	CWE-77	CWE-78
CWE-78	CWE-476	CWE-78
CWE-78	CWE-22	CWE-78
CWE-476	CWE-120	CWE-476
CWE-22	CWE-79	CWE-22
CWE-120	CWE-269	CWE-120
CWE-79	CWE-256	CWE-79
CWE-284	CWE-639	CWE-639
CWE-312	CWE-269	CWE-312
CWE-78	CWE-94	CWE-94
CWE-78	CWE-284	CWE-78
CWE-78	CWE-269	CWE-78
CWE-78	CWE-79	CWE-78
CWE-306	CWE-89	CWE-306
CWE-79	CWE-89	CWE-79
CWE-89	CWE-89	CWE-89
CWE89	CWE-89	CWE89
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-89	CWE-80	CWE-89
CWE-89	CWE-79	CWE-89
CWE-80	CWE-122	CWE-80
CWE-676	CWE-94	CWE-676
CWE-120	CWE-670	CWE-120
CWE-611	CWE-233	CWE-611
CWE-20	CWE-78	CWE-20
CWE-80	CWE-732	CWE-80
CWE-16	CWE-434	CWE-16
CWE-255	CWE-94	CWE-255
CWE-434	CWE-89	CWE-434
CWE-78	CWE-94	CWE-78
CWE-89	CWE-352	CWE-89
CWE-94	CWE-120	CWE-94
CWE-918	CWE-78	CWE-918
CWE-120	CWE-79	CWE-120
CWE-78	CWE-89	CWE-78
CWE-80	CWE-89	CWE-80
CWE-89	CWE-89	CWE-89
CWE-89	CWE-122	CWE-89
CWE-89	CWE-89	CWE-89
CWE-119	CWE-125	CWE-125
CWE-89	CWE-125	CWE-89
CWE-787	CWE-125	CWE-787
CWE-126	CWE-125	CWE-126
CWE-122	CWE-345	CWE-122
CWE-843	CWE-770	CWE-843
CWE-284	CWE-522	CWE-284
CWE-400	CWE-522	CWE-400
CWE-322	CWE-400	CWE-400
CWE-522	CWE-732	CWE-522
CWE-400	CWE-89	CWE-400
CWE-266	CWE-269	CWE-266
CWE-89	CWE-295	CWE-89
CWE-287	CWE-89	CWE-287
CWE-327	CWE-121	CWE-327
CWE-89	CWE-121	CWE-89
CWE-126	CWE-121	CWE-126
CWE-122	CWE-121	CWE-122
CWE-400	CWE-121	CWE-400
CWE-400	CWE-121	CWE-400
CWE-400	CWE-121	CWE-400
CWE-400	CWE-121	CWE-400
CWE-400	CWE-1321	CWE-1321
CWE-400	CWE-89	CWE-400
CWE-94	CWE-269	CWE-94
CWE-89	CWE-79	CWE-89
CWE-276	CWE-79	CWE-276
CWE-79	CWE-89	CWE-79
CWE-80	CWE-290	CWE-80
CWE-89	CWE-79	CWE-89
CWE-345	CWE-200	CWE-345
CWE-80	CWE-79	CWE-80
CWE-200	CWE-89	CWE-200
CWE-80	CWE-79	CWE-80
CWE-89	CWE-22	CWE-89
CWE-79	CWE-639	CWE-79
CWE-22	CWE-862	CWE-22
CWE-653	CWE-89	CWE-653
CWE-284	CWE-862	CWE-284
CWE-89	CWE-89	CWE-89
CWE-285	CWE-862	CWE-285
CWE-89	CWE-79	CWE-89
CWE-285	CWE-269	CWE-285
CWE-80	CWE-89	CWE-80
CWE-269	CWE-269	CWE-269
CWE-89	CWE-89	CWE-89
CWE-269	CWE-269	CWE-269
CWE-89	CWE-502	CWE-89
CWE-269	CWE-79	CWE-269
CWE-502	CWE-862	CWE-862
CWE-79	CWE-434	CWE-79
CWE-285	CWE-22	CWE-285
CWE-434	CWE-862	CWE-434
CWE-22	CWE-89	CWE-22
CWE-285	CWE-89	CWE-285
CWE-90	CWE-22	CWE-90
CWE-89	CWE-862	CWE-89
CWE-22	CWE-79	CWE-22
CWE-285	CWE-862	CWE-285
CWE-80	CWE-862	CWE-80
CWE-285	CWE-862	CWE-285
CWE-285	CWE-862	CWE-285
CWE-285	CWE-269	CWE-285
CWE-78	CWE-502	CWE-78
CWE-269	CWE-269	CWE-269
CWE-22	CWE-79	CWE-22
CWE-269	CWE-862	CWE-269
CWE-80	CWE-79	CWE-79
CWE-285	CWE-862	CWE-862
CWE-79	CWE-862	CWE-79
CWE-285	CWE-862	CWE-285
CWE-285	CWE-200	CWE-285
CWE-285	CWE-862	CWE-285
CWE-200	CWE-121	CWE-121
CWE-285	CWE-79	CWE-285
CWE-121	CWE-912	CWE-912
CWE-116	CWE-601	CWE-601
CWE-319	CWE-862	CWE-319
CWE-601	CWE-862	CWE-601
CWE-285	CWE-862	CWE-285
CWE-264	CWE-862	CWE-264
CWE-285	CWE-862	CWE-285
CWE-285	CWE-89	CWE-285
CWE-285	CWE-918	CWE-285
CWE-89	CWE-862	CWE-89
CWE-918	CWE-918	CWE-918
CWE-285	CWE-862	CWE-285
CWE-918	CWE-862	CWE-918
CWE-284	CWE-862	CWE-284
CWE-285	CWE-862	CWE-285
CWE-285	CWE-862	CWE-862
CWE-285	CWE-79	CWE-285
CWE-306	CWE-121	CWE-306
CWE-80	CWE-89	CWE-80
CWE-120	CWE-476	CWE-120
CWE-89	CWE-617	CWE-89
CWE-476	CWE-466	CWE-476
CWE-404	CWE-79	CWE-404
CWE-120	CWE-939	CWE-120
CWE-79	CWE-824	CWE-79
CWE-22	CWE-89	CWE-22
CWE-835	CWE-295	CWE-835
CWE-89	CWE-23	CWE-89
CWE-295	CWE-89	CWE-295
CWE-20	CWE-259	CWE-20
CWE-89	CWE-918	CWE-89
CWE-259	CWE-22	CWE-259
CWE-917	CWE-918	CWE-918
CWE-22	CWE-89	CWE-22
CWE-918	CWE-79	CWE-918
CWE-89	CWE-79	CWE-89
CWE-80	CWE-352	CWE-80
CWE-80	CWE-79	CWE-80
CWE-352	CWE-918	CWE-918
CWE-80	CWE-862	CWE-80
CWE-918	CWE-862	CWE-862
CWE-285	CWE-532	CWE-285
CWE-285	CWE-352	CWE-285
CWE-532	CWE-79	CWE-532
CWE-352	CWE-79	CWE-352
CWE-80	CWE-79	CWE-79
CWE-80	CWE-502	CWE-80
CWE-79	CWE-79	CWE-79
CWE-502	CWE-79	CWE-79
CWE-80	CWE-94	CWE-80
CWE-80	CWE-79	CWE-80
CWE-94	CWE-352	CWE-94
CWE-80	CWE-284	CWE-80
CWE-352	CWE-79	CWE-79
CWE-285	CWE-79	CWE-285
CWE-96	CWE-79	CWE-96
CWE-80	CWE-352	CWE-80
CWE-80	CWE-352	CWE-352
CWE-352	CWE-862	CWE-862
CWE-93	CWE-125	CWE-93
CWE-285	CWE-125	CWE-285
CWE-119	CWE-74	CWE-119
CWE-125	CWE-601	CWE-125
CWE-628	CWE-327	CWE-628
CWE-15	CWE-284	CWE-284
CWE-346	CWE-639	CWE-346
CWE-285	CWE-200	CWE-285
CWE-787	CWE-349	CWE-787
CWE-642	CWE-79	CWE-642
CWE-78	CWE-427	CWE-427
CWE-93	CWE-352	CWE-352
CWE-732	CWE-352	CWE-732
CWE-352	CWE-352	CWE-352
CWE-79	CWE-352	CWE-79
CWE-901	CWE-352	CWE-901
CWE-352	CWE-352	CWE-352
CWE-918	CWE-352	CWE-352
CWE-352	CWE-862	CWE-352
CWE-352	CWE-862	CWE-352
CWE-284	CWE-345	CWE-284
CWE-285	CWE-352	CWE-352
CWE-327	CWE-352	CWE-327
CWE-384	CWE-434	CWE-384
CWE-352	CWE-352	CWE-352
CWE-438	CWE-352	CWE-438
CWE-352	CWE-79	CWE-352
CWE-352	CWE-79	CWE-352
CWE-79	CWE-79	CWE-79
CWE-80	CWE-79	CWE-80
CWE-79	CWE-79	CWE-79
CWE-80	CWE-79	CWE-80
CWE-79	CWE-360	CWE-79
CWE-80	CWE-20	CWE-80
CWE-20	CWE-617	CWE-20
CWE-20	CWE-79	CWE-20
CWE-20	CWE-732	CWE-732
CWE-79	CWE-434	CWE-79
CWE-264	CWE-200	CWE-200
CWE-434	CWE-698	CWE-434
CWE-863	CWE-124	CWE-863
CWE-94	CWE-787	CWE-94
CWE-119	CWE-653	CWE-119
CWE-122	CWE-79	CWE-122
CWE-675	CWE-121	CWE-675
CWE-80	CWE-269	CWE-80
CWE-120	CWE-79	CWE-120
CWE-269	CWE-120	CWE-269
CWE-80	CWE-121	CWE-121
CWE-390	CWE-120	CWE-390
CWE-121	CWE-434	CWE-121
CWE-402	CWE-89	CWE-402
CWE-758	CWE-77	CWE-758
CWE-89	CWE-77	CWE-89
CWE-94	CWE-79	CWE-94
CWE-88	CWE-20	CWE-88
CWE-80	CWE-78	CWE-80
CWE-78	CWE-89	CWE-78
CWE-78	CWE-89	CWE-78
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-89	CWE-79	CWE-89
CWE-89	CWE-770	CWE-89
CWE-79	CWE-120	CWE-79
CWE-400	CWE-352	CWE-400
CWE-121	CWE-282	CWE-121
CWE-352	CWE-352	CWE-352
CWE-345	CWE-80	CWE-345
CWE-352	CWE-918	CWE-352
CWE-80	CWE-121	CWE-80
CWE-918	CWE-434	CWE-918
CWE-120	CWE-1286	CWE-120
CWE-78	CWE-404	CWE-404
CWE-229	CWE-657	CWE-657
CWE-20	CWE-476	CWE-20
CWE-327	CWE-204	CWE-327
CWE-269	CWE-918	CWE-269
CWE-359	CWE-436	CWE-359
CWE-918	CWE-73	CWE-918
CWE-20	CWE-770	CWE-20
CWE-22	CWE-98	CWE-22
CWE-400	CWE-918	CWE-400
CWE-22	CWE-259	CWE-22
CWE-918	CWE-79	CWE-918
CWE-312	CWE-326	CWE-312
CWE-88	CWE-94	CWE-94
CWE-327	CWE-122	CWE-327
CWE-78	CWE-120	CWE-78
CWE-120	CWE-122	CWE-120
CWE-123	CWE-22	CWE-123
CWE-122	CWE-863	CWE-122
CWE-78	CWE-22	CWE-78
CWE-285	CWE-693	CWE-285
CWE-310	CWE-321	CWE-310
CWE-94	CWE-269	CWE-269
CWE-285	CWE-284	CWE-285
CWE-269	CWE-150	CWE-269
CWE-284	CWE-316	CWE-284
CWE-20	CWE-316	CWE-20
CWE-16	CWE-79	CWE-16
CWE-345	CWE-862	CWE-345
CWE-79	CWE-862	CWE-862
CWE-285	CWE-862	CWE-285
CWE-284	CWE-89	CWE-284
CWE-264	CWE-862	CWE-264
CWE-89	CWE-352	CWE-352
CWE-285	CWE-862	CWE-285
CWE-440	CWE-862	CWE-440
CWE-285	CWE-79	CWE-285
CWE-285	CWE-290	CWE-290
CWE-80	CWE-79	CWE-80
CWE-254	CWE-862	CWE-254
CWE-80	CWE-862	CWE-862
CWE-285	CWE-532	CWE-285
CWE-285	CWE-862	CWE-285
CWE-532	CWE-79	CWE-532
CWE-285	CWE-862	CWE-285
CWE-80	CWE-79	CWE-80
CWE-284	CWE-79	CWE-284
CWE-80	CWE-79	CWE-79
CWE-79	CWE-862	CWE-79
CWE-80	CWE-601	CWE-80
CWE-285	CWE-862	CWE-285
CWE-189	CWE-79	CWE-189
CWE-285	CWE-79	CWE-285
CWE-80	CWE-79	CWE-80
CWE-80	CWE-79	CWE-80
CWE-80	CWE-79	CWE-80
CWE-80	CWE-862	CWE-80
CWE-79	CWE-862	CWE-79
CWE-285	CWE-79	CWE-285
CWE-668	CWE-862	CWE-668
CWE-79	CWE-862	CWE-79
CWE-285	CWE-79	CWE-285
CWE-285	CWE-862	CWE-862
CWE-80	CWE-79	CWE-80
CWE-285	CWE-79	CWE-285
CWE-80	CWE-79	CWE-80
CWE-80	CWE-79	CWE-80
CWE-80	CWE-79	CWE-80
CWE-80	CWE-79	CWE-79
CWE-80	CWE-79	CWE-80
CWE-79	CWE-79	CWE-79
CWE-80	CWE-79	CWE-80
